Name,CAS #,smiles,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Thioguanine,154-42-7,n1c2c(nc[nH]2)c([nH]c1N)=S,2.89,15.4,,3.13,24.35," Kitchen, Brenda J.; Balis, Frank M.; Poplack, David G.; O'brien, Michelle; Craig, Catherine E.; Adamson, Peter C.  A pediatric phase I trial and pharmacokinetic study of thioguanine administered by continuous i.v. infusion. Clinical Cancer Research, 1997, 3, 713-717.","2-amino-6-mercaptopurine. 6-mercaptoguanine. Data digitized from plot 20 mg/m2/h, 24 hr infusion. N=13. 70 kg average weight assumed. 1.73 m2/70 kg conversion factor used. Reported clearance 608 mL/min/m2 corresponding to 15.02 mL/min/kg.",,1948,167.19,5,3,83.4,0,anionic,-1.2,-4.7
Levetiracetam,102767-28-2,N1([C@H](C(=O)N)CC)C(=O)CCC1,0.6,0.9,0.9,11.15,8.23,"Steven Ramael, Agnès Daoust, Christian Otoul, Nathalie Toublanc, Mona Troenaru, Zhihong (Sarah) Lu, Armel Stockis. Levetiracetam Intravenous Infusion: A Randomized, Placebo-controlled Safety and Pharmacokinetic Study. Epilepsia, 2006, 47, 1128-1135. ppb: Stuart W. Paine, Karelle Menochet, Rebecca Denton, Dermot F. McGinnity, and Robert J. Riley. Prediction of Human Renal Clearance from Preclinical Species for a Diverse Set of Drugs That Exhibit Both Active Secretion and Net Reabsorption, Drug Metab. Disp. 2011, 39:1008–1013","Keppra. UCB L-059. Data digitize from plot reported. 3000 mg 15 minutes iv infusion. N=6 healthy volunteers, average weight 74.6 kg. Other doses available and linearity observed. AUC(0-inf) reported as 754 ug.h.mL-1. AUC(0-inf) calculated 751 ug.h.mL-1. < 1 % difference.",From PDR. Accessed February 22 2013.http://www.pdr3d.com/detail.php?c=52829#section-4  Levetiracetam is eliminated from the systemic circulation by renal excretion as unchanged drug which represents 66% of administered dose. The mechanism of excretion is glomerular filtration with subsequent partial tubular reabsorption.,1985,170.21,4,1,63.4,3,neutral,-0.48,-0.48
Propylthiouracil,51-52-5,CCCC1=CC(=O)NC(=S)N1,0.34,3.1,0.18,1.8,1.3,"Kampmann J and Skovsted L (1974) Pharmacokinetics of propylthiouracil.  Acta Pharmacol. Toxicol. 35: 361-369.   Giles HG, Roberts EA, Orrego H, and Sellers EM (1981) Disposition of intravenous propylthiouracil. J. Clin. Pharmacol. 21: 466-471.",VDss calculated from reported rate microconstants.,,1946,170.23,3,2,41.1,2,neutral,1.2,1.2
Sobrerol,42370-41-2,CC1=CC[C@H](C[C@@H]1O)C(C)(C)O,0.43,2.7,,3.1,1.9,"Schiavi M., Ventura P., Giachetti, C., Poletti, P., Canali, S., Zanolo, G.  Systemic availability of two oral formulations of trans-sobrerol in healthy volunteers. Third European Congress of Biopharmaceutics and Pharmacokinetics : proceedings : Freiburg, April 21-24, 1987, p.228-233",trans-sobrerol.,,1938,170.25,2,2,40.5,0,neutral,1.3,1.3
Metronidazole,443-48-1,Cc1ncc(N(=O)=O)n1CCO,0.4,0.85,0.96,7.8,7.1,"Sanvordekar DR, Chien YW, Lin TK, Lambert HJ (1975) Binding of metronidaole and its derivatives to plasma proteins: an assessment of drug binding phenomenon.  J. Pharm Sci. 64: 1797-1803.   Bergan T and Thorsteinsson SB (1986) Pharmacokinetics of metronidazole and its metabolites in reduced renal function.  Chemotherapy 32: 305-318.",Plasma concentraions determined using a bioassay.,,1946,171.15,6,1,83.9,3,neutral,-0.44,-0.44
Gabapentin,60142-96-3,NCC1(CC(=O)O)CCCCC1,0.71,1.7,0.97,7.0,5.3,"Vollmer KO, Anhut H, Thomann P, Wagner F, and Jahnchen D (1989) Pharmacokinetic model and absolute bioavailability of the new anticonvulsant gabapentin.  Adv. Epileptol. 17: 209-211.  Neurontin Product Label.",,,1976,171.24,3,2,63.3,3,zwitterionic,0.55,-1.7
Edaravone,89-25-8,N1(c2ccccc2)N=C(C)CC1=O,0.23,1.42,0.89,2.65,2.36,"Data from 20 mg dose iv profile shown in Fig. 2 of Hao Li,Kun Xu, Yongqing Wang, Hongwen Zhang, Tianping Li, Ling Meng, Xiaojian Gong, Haibo Zhang, Ning Ou and Jinman Ruan  
Phase I Clinical Study of Edaravone in Healthy Chinese Volunteers. Drugs RD 2012; 12 (2): 65-70.//ppb:Dao-quan Tang, Yin-jie Li, Zheng Li, Ting-ting Bian, Kai Chen, Xiao-xiao Zheng, Yan-yan Yu, Shui-shi Jiang. Study on the interaction of plasma protein binding rate between edaravone and taurine in human plasma based on HPLC analysis coupled with ultrafiltration technique.","Data digitized. Only dose 20mg 0.5h iv infusion, N=10 (5 male/ 5 female, mean body weight = 59.7kg from Table 1) has been used (Dose linearity)
Reported data (Table 2:
AUC0-t:  3.64 mg*h/L
AUC0-inf: 3.79 mg*h/mL
CL:  0.1 L/min (1.68 mL/min/kg)
t1/2:  2.34 h",,1891,174.2,3,0,32.7,1,neutral,2.2,2.2
Ascorbic acid,50-81-7,[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O,0.35,1.05,0.26,5.5,11.4,"Zetler, G. Seidel, G., Siegers, G-P, Iven. H. Pharmacokinetics of ascorbic acid in man. Eur. J. Clin. Pharmacol. 1976, 10, 273-282.// (L. John Hoffer, Line Robitaille, Robert Zakarian, David Melnychuk, Petr Kavan, Jason Agulnik,Victor Cohen, David Small Wilson H. Miller, Jr. High-Dose Intravenous Vitamin C Combined with Cytotoxic Chemotherapy in Patients with Advanced Cancer: A Phase I-II Clinical Trial. PLOS ONE  DOI:10.1371/journal.pone.0120228 April 7, 2015)","N=3, dosed as 500 mg of sodium ascorbate (435 mg of ascorbic acid). 79 kg average weight. Not clear whether lactone or acid was followed as the analysis was performed colorimetrically. Structure entered as lactone//Also, the work of Hoffer et al. PLoS was utilized for calculations after digitization. 0.6 g/kg over 90 minutes, N=12, 76 kg average weight. Only Cmax and C5.5 hr were reported (= Clast) and were digitized very accurately. VDss = 0.21 L/kg and clearance 1.07 mL/min/kg, MRT 3.24 hr and t1/2 2.36 hr. NEW DATA ENTERED MAY 23 2016 and  NOT AVERAGED ACROSS THE TWO REPORTS.",,1923,176.12,6,4,107.2,2,anionic,-3.0,-5.5
Cotinine,486-56-6,CN1[C@@H](CCC1=O)c2cccnc2,1.1,0.89,,21.0,17.0,"Scherer G, Jarczyk L, Heller WD, Biber A, Neurath GB, and Adlkofer F (1988) Pharmacokinetics of nicotine, cotinine, and 3'-hydroxycotinine in cigarette smokers.  Klin. Wochenschr. 66(Supp 11): 5-11.  Curvall M, Elwin CE, Kazemi-Vala E, Warholm C, and Enzell CR (1990) The pharmacokinetics of cotinine in plasma and saliva from non-smoking healthy volunteers.  Eur. J. Clin. Pharmacol. 38: 281-287. ",VDss calculated from C vs t data obtained by digitization of the plots provided in the references.,,1956,176.22,3,0,33.2,1,neutral,-0.33,-0.33
Tirapazamine,27314-97-2,Nc1n[n+]([O-])c2ccccc2[n+]1[O-],0.56,8.9,0.81,1.0,0.78,"Senan S, Rampling R, Graham MA, Wilson P, Robin H, Eckardt N, Lawson N, McDonald A, von Roemeling R, Workman P, and Kaye SB (1997) Phase I and pharmacokinetic study of tirapazamine (SR 4233) administered every three weeks.  Clin. Cancer Res. 3: 31-38.  Robin H, Senan S, Workman P, and Graham MA (1995) development and validation of a sensitive solid-phase extraction and high performance liquid chromatoigraphy assay for the bioreductive agent tirapazamine and its major metabolites in mouse and human plasma for pharmacokinetically guided dose selection.  Canc. Chemother. Pharmacol. 36: 266-270.",,,1957,178.15,6,1,92.8,0,neutral,-1.7,-1.7
Propofol,2078-54-8,CC(C)c1cccc(C(C)C)c1O,4.7,36.0,0.016,2.2,3.2,"Ibrahim A, Park S, Feldman J, Karim A, and Kharasch ED (2002) Effects of parecoxib, a parenteral COX-2-specific inhibitor, on the pharmacokinetics and pharmacodynamics of propofol.  Anesthesiology 96: 88-95.  Servin F, Desmonts JM, Haberer JP, Cockshott ID, Plummer GF, and Farinotti R (1988) Pharmacokinetics and protein binding of propofol in patients with cirrhosis. Anesthesiology 69: 887-891.  Shafer A, Doze VA, Shafer SL, and White PF (1988) Pharmacokinetics and pharmacodynamics of propofol infusions during general anesthesia.  Anesthesiology 69: 348-356.  Costela JL, Jimenez R, Calvo R, Suarez E, and Carlos R (1996) Serum protein binding of propofol in patients with renal failure or hepatic cirrhosis.  Acta Anaesth. Scand. 40: 741-745.",,,1979,178.27,1,1,20.2,2,neutral,4.2,4.2
Acivicin,42228-92-2,N[C@@H]([C@@H]1CC(=NO1)Cl)C(=O)O,0.5,0.69,,12.0,9.9,"McGovern JP, Pratt EA, Belt RJ, Taylor SA, Benjamin RS, Ardalan B, and Ohnuma T (1985) Pharmacokinetic and biochemical studies on acivicin in phase I clinical trials.  Canc. Res.  45: 4460-4463.",VDss was calculated from C vs t data obtained by digitization of a plot for one subjected that was included in the reference.  Plasma concentrations were determined by bioassay.,,1973,178.57,5,2,84.9,2,zwitterionic,-0.38,-2.7
CGP36742,123690-78-8,O=[P@@](O)(CCCC)CCCN,,1.56,,,2.1,"Christoph H. Gleiter,  Gisbert Forger, Huns-jorg Mobius. Pharmacokinetics of CGP 36,742, an orally active GABAB antagonist, in human. J Clln PharmacoI 1996, 36, 428-438.","N=12, 600 mg dose in 15' infusion. 0.28 L/kg VD, likely to be VDz.",Identical total and renal clearance.,1989,179.2,3,2,63.3,6,zwitterionic,0.68,-1.6
Phenacetin,62-44-2,CCOc1ccc(NC(=O)C)cc1,1.4,21.0,0.47,1.1,0.92,"Raaflaub J and Dubach UC (1975) On the pharmacokinetics of phenacetin in man.  Eur. J. Clin. Pharmacol.  8: 261-265.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",VDss data calculated from C vs t data reported in the paper.  Values are for whole blood.,,1941,179.22,3,1,38.3,3,neutral,1.7,1.7
Mexiletine,31828-71-4,CC(N)COc1c(C)cccc1C,5.9,8.3,0.36,12.0,9.9,"Pentikainen PJ, Hietakorpi S, Halinen MO, and Lampinen LM (1986) Cirrhosis of the liver markedly impairs the elimination of mexiletine.  Eur. J. Clin. Pharmacol. 30: 83-88.  McErlane KM, Igwemezie L., Kerr CR (1987) Stereoselective serum protein binding of mexiletine enantiomers in man.  Res. Comm. Chem. Path. Pharmacol. 56: 141-144.",Average of two enantiomers.,,1971,179.26,2,1,35.3,3,cationic,2.2,0.55
Acetylsalicylic Acid,50-78-2,CC(=O)Oc1ccccc1C(=O)O,0.22,12.0,0.68,0.3,0.26,"Aarons L, Hopkins K, Rowland M, Brossel S, and Thiercelin JF (1989) Route of administration and sex differences in the pharmacokinetics of aspirin, administered as its lysine salt.   Pharm. Res. 6: 660-666.  Lee S, Johnson D, Klein J, and Eppler J (1995) Protein binding of acetylsalicylic acid and salicylic acid in porcine and human serum.  Vet. Human Toxicol. 37: 224-225",,,1907,180.16,4,1,63.6,3,anionic,1.6,-1.7
Theophylline,58-55-9,CN1C(=O)N(C)c2[nH]cnc2C1=O,0.51,0.86,0.61,9.9,7.2,"Kraan J, Borgstrom L, Koeter GH, Laseur M, Jonkman JHG, and deNoord OE (1988) Creation of four consecutive intantaneous steady-state plasma concentration plateaus of theophylline and enprofylline by repeated infusions with expoonentially decreasing delivery rates. Eur. J. Clin. Pharmacol. 35: 657-661.  Lee KJ, Mower R, Hollenbeck T, Castelo J, Johnson N, Gordon P, Sinko PJ, Holme K, and Lee YH (2003) Modulation of nonspecific binding in ultrafiltration protein binding studies.  Pharm. Res.  20: 1015-1021.  Lombardi TP, Bertino JS, Goldberg A, Middleton E, and Slaughter RL (1987) The effects of a beta-2 selective adrenergic agonist and a beta-nonselective antagonist on theophylline clearance.    J. Clin. Pharmacol. 27: 523-529.",,,1946,180.16,6,1,69.3,0,neutral,-0.22,-0.22
Rilmenidine,54187-04-1,C1CC1C(C2CC2)NC3=NCCO3,4.5,7.1,0.9,10.6,8.3,"PATRICK  GENISSEL,   NORBERT  BROMET, JEAN  BERNARD  FOURTILLAN,  ALAIN  MIGNOT, HENRI  ALBIN.  Pharmacokinetics of rilmenidine in healthy subjects. Am. J. Cardiol. 1988, 61, D47-D53.",Assumed 65 kg b.w. (not given in paper but studied even number of men and women). Calculated VDss from C vs t graph in paper.  (VD provided in paper was not described.)//ppb:  The binding of rilmenidine on the human free fatty-acid serum albumin fraction (equilibriumdialysis) is approximately 7.5% and on the a1 glycoprotein acid approximately 3.5% (data not shown). Approximated to 90% free.,65% excreted unchanged in urine.,1981,180.25,3,1,33.6,4,cationic,0.91,-2.2
Acamprosate,77337-76-9,OS(=O)(=O)CCCNC(=O)C,0.3,3.75,1.0,1.54,3.2,2003-Jul-23  PDF(2806k) Clinical Pharmacology and Biopharmaceutics Review 021431/S-000. FDA. Accessed through Pharmapendium. ,Structure and smiles refer to free acid. 666 mg iv through infusion. N=24. 70 kg assumed. Tables on page 12. negligible ppb (PDR).,,1984,181.21,5,2,83.5,4,anionic,-1.7,-5.2
Pyridostigmine,155-97-5,CN(C)C(=O)Oc1ccc[n+](C)c1,1.1,9.6,1.0,1.8,1.5,"Aquilonius SM, Eckernaes SA, Hartvig P, Lindstroem B, and Osterman PO (1980) Pharmacokinetics and oral bioavailability of pyridostigmine in man. Eur. J. Clin. Pharmacol. 18: 423-428.  Kornfeld P, Samuels AJ, Wolf RL, and Osserman KE (1970) Metabolism of pyridostigmine-14C in myasthenia gravis.  Evidence for multiple metabolites.  Neurology 20: 634-641.",VDss calculated from C vs t data obtained by digitization of plots in the reference.,,1956,181.21,4,0,33.4,2,neutral,-3.7,-3.7
Etilefrine,709-55-7,CCNCC(O)c1cccc(O)c1,2.1,14.0,0.77,2.5,2.2,"Hengstmann JH, Weyand U, and Dengler HJ (1975) The physiological disposition of etilefrine in man.  Eur. J. Clin. Pharmacol.  9: 179-187.",VDss calculated from reported micro-constants.,,1950,181.23,3,3,52.5,4,cationic,0.57,-0.9
Mannitol,69-65-8,O[C@@H]([C@@H]([C@@H](CO)O)O)[C@@H](CO)O,0.24,1.2,,3.5,4.7,"EMA assessment report of Mannitol (EMEA/H/C/001252):
study DPM-PK-101","Data digitized from Table 3 in the report. N=18 male, 70 kg body weight assumed. 500 mg dose.

Reported data (Table 2):
AUC0-inf = 100236 ng*h/mL
CL = 5099 mL/h (1.21 mL/min/kg)
CLr = 4439 mL/h (mainly renally excreted)
t1/2 = 4.5 h
Vd = 34.3 L (0.49 L/kg)",,1946,182.17,6,6,121.4,5,neutral,-3.6,-3.6
Dacarbazine,4342-03-4,CN(C)N=Nc1nc[nH]c1C(=O)N,1.2,2.6,1.0,7.8,6.2,"Loo TL, Housholder GE, Gerulath AH, Saunders PH, and Farquhar D (1976) Mechanism of action and pharmacology studies with DITC (NSC-45388) Canc. Treatment Rep. 60: 149-152.  DITC-DOME Product Label",Parameters calculated from C vs t data obtained by digitization of a plot provided in the reference.,,1953,182.18,7,2,99.7,3,neutral,-0.12,-0.12
Amrinone,60719-84-8,NC1=CC(=CNC1=O)c2ccncc2,1.3,8.9,0.89,2.4,2.0,"Hamilton RA, Kowalsky SF, Wright EM, Cernak P, Benziger DP, Stroshane RM, and Edelson J (1986)  Effect of the acetylator phenotype on amrinone pharmacokinetics.  Clin. Pharmacol. Ther. 40: 615-619.  Koprda V, Trnovec T, and Landmann H (1986) The binding of amrinone to plasma proteins.  Pharmazie 41: 300-301.",CL value from rapid acetylators only.,,1977,187.2,4,2,68.0,1,neutral,-0.67,-0.73
Selegiline,2323-36-6,CC(Cc1ccccc1)N(C)CC#C,1.9,20.0,0.13,1.6,1.3,"Heinonen, EH, Anttila, MI, Lammintausta, RAS.(1994) Pharmacokinetic aspects of l-deprenyl (selegiline) and its metabolites. Clin Pharmacol Ther. 56: 742-749.   De la Torre R, Farre M, Navarro M, Pacifici R, Zuccaro P, and Pichini S (2004)  Clinical pharmacokinetics of amfetamine and related substances: monitoring in conventional and non-conventional matrices.  Clin. Pharmacokinet.  43: 157-185.  Emsam Product Label.  Zelapar Product Label.",,,1963,187.28,1,0,3.2,5,cationic,2.8,2.3
Perflutren,76-19-7,C(C(F)(F)F)(C(F)(F)F)(F)F,1.6,590.71,,0.05,0.02,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-064_Definity_biopharmr.pdf.
 Accessed May 18 2017.","Definity.PFC 218. Data in blood. It may be assumed that bl/pl is =1. N=8, healthy volunteers. 70 kg average weight assumed.",,1930,188.02,0,0,0.0,0,neutral,2.5,2.5
Antipyrine,60-80-0,CN1N(C(=O)C=C1C)c2ccccc2,0.77,0.64,0.93,20.0,12.0,"Andreasen PB and Vesell ES (1974) Comparison of plasma levels of antipyrine, tolbutamide, and warfarin after oral and intravenous administration.  Clin. Pharmacol. Ther. 16: 1059-1065.  Danhof M, vanZuilen A, Boeijinga JK, and Breimer DD (1982) Studies of the different metabolic pathways of antipyrine in man.  Eur. J. Clin. Pharmacol.  21: 433-441.  Lee KJ, Mower R, Hollenbeck T, Castelo J, Johnson N, Gordon P, Sinko PJ, Holme K, and Lee YH (2003)  Modulation of nonspecific binding in ultrafiltration protein binding studies.  Pharm. Res. 20: 1015-1021.",Danhof reference not included for VDss (would require digitization); Andreason reference used a one-compartment model so VDc = VDss.,,1890,188.23,3,0,23.5,1,neutral,0.19,0.19
Thiotepa,52-24-4,S=P(N1CC1)(N2CC2)N3CC3,1.6,6.7,0.9,4.0,2.7,"Ackland SP, Choi KE, Ratain MJ, Egorin MJ, Williams SF, Sinkule JA, and Bitran JD (1988) Human plasma pharmacokinetics of thiotepa following administration of high-dose thiotepa and cyclophosphamide.  J. Clin. Oncol. 6: 1192-1196.  Hagen B and Nilsen OG (1987) The binding of thio-TEPA in human serum and to isolated serum protein fractions.  Cancer Chemother. Pharmacol. 20: 319-323.",,,1952,189.22,3,0,9.0,3,neutral,0.53,0.53
Dobesilic acid,88-46-0,O=S(=O)(O)c1c(O)ccc(O)c1,0.12,0.87,,2.41,2.01,"G. Franke, T. Schneider, W. Siegmund, A. Scherber. Bioavailability studies of calcium dobesilate- a case of flip-flop kinetics. Pharmazie, 1985, 40, 562-563. ","N=10, iv bolus, 500 mg dose, 68.7 kg average weight. AUCinf digitized 139.7 mg.h.L-1, reported 139 mg.hr.L-1 (AUC0-t digitized 137.4 mg.hr.L-1). ",Administered as calcium salt. Structure and CAS# refers to neutral compound.,1923,190.17,5,3,94.8,1,neutral,-1.1,-4.0
Isosorbide-2-Mononitrate,16106-20-0,O[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)ON(=O)=O,0.86,6.2,,2.3,1.9,"Straehl P, Galeazzi RL, and Soliva M (1984) Isosorbide 5-mononitrate and isosorbide 2-mononitrate kinetics after intravenous and oral dosing.  Clin. Pharmacol. Ther.  36: 485-491.//",,,1967,191.14,7,1,93.7,2,neutral,-0.38,-0.38
Isosorbide-5-Mononitrate,16051-77-7,O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)ON(=O)=O,0.7,2.0,1.0,5.8,4.1,"Major RM, Taylor T, Chasseaud LF, Darragh A, and Lambe RF (1984) Isosorbide 5-mononitrate kinetics.  Clin. Pharmacol. Ther. 35: 653-659.  Straehl P, Galeazzi RL, and Soliva M (1984) Isosorbide 5-mononitrate and isosorbide 2-mononitrate kinetics after intravenous and oral dosing.  Clin. Pharmacol. Ther.  36: 485-491.",,,1967,191.14,7,1,93.7,2,neutral,-0.38,-0.38
Idrocilamide,6961-46-2,c1(\C=C\C(NCCO)=O)ccccc1,0.11,0.99,,1.93,1.35,"H. Maier-Lenz, L. Ringelski, A. Windhorfer zur.Pharmakokinetik nnd Bioverfiigba1·keit des Myotonolytikums N-(Hydroxy-2-athyl)-cinnarnid. Arzneim.-Forsch. 1980, 30, 1813-1816.","LCB-29. Brolitene. N=10, 60 mg iv dose, 68 kg average weight
Reported AUC = 11.31 +/- 4.9 ug.hr/mL AUC computed as  14.8 ug.h/mL from plot digitization but within sd and thus accepted.
lambda z = 0.7 hr-1
VD reported = 7.4 L",,1948,191.23,3,2,49.3,4,neutral,0.86,0.86
"Hydroxycotinine, 3'-",34834-67-8,CN1[C@@H](C[C@@H](O)C1=O)c2cccnc2,0.85,1.8,,7.9,5.9,"Scherer G, Jarczyk L, Heller WD, Biber A, Neurath GB, and Adlkofer F (1988) Pharmacokinetics of nicotine, cotinine, and 3'-hydroxycotinine in cigarette smokers.  Klin. Wochenschr. 66(Supp 11): 5-11.",VDss calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1960,192.21,4,1,53.4,1,anionic,-1.5,-2.0
Tocainide,41708-72-9,CC(N)C(=O)Nc1c(C)cccc1C,1.8,2.2,0.87,14.0,12.0,"Lalka D, Meyer MB, Duce BR, and Elvin AT (1976) Kinetics of the oral antiarrhythmic lidocaine congener, tocainide.  Clin. Pharmacol. Ther. 19: 757-766.  Thomson AH, Murdoch G, Pottage A, Kelman AW, Whiting B, and Hillis WS (1986) The pharmacokinetics of R- and S-tocainide in patients with acute ventricular arrhythmias.  Br. J. Clin. Pharmacol. 21: 149-154,  Sedman AJ, Bloedow DC, and Gal J (1982) Serum binding of tocainide and its enantiomers in human subjects.  Res. Comm. Chem Path. Pharmacol. 38: 165-168.",Combined data from individual enantiomers.,,1973,192.26,3,2,55.1,2,cationic,0.65,0.27
Betamipron,3440-28-6,OC(=O)CCNC(=O)c1ccccc1,0.28,9.2,0.17,0.51,0.59,"Saito A (1991) Pharmacokinetics of panipenem/betamipron.  Chemotherapy (Tokyo)  39(Suppl. 3): 227-235.  Kurihara A, Naganuma H, Hisaoka M, Tokiwa H, and Kawahara Y (1992) Prediction of human pharmacokinetics of panipenem-betamipron, a new carbapenem, from animal data.    Antimic. Agents Chemother. 36: 1810-1816.",VDss calculated from C vs t data provided in the reference.,,1920,193.2,4,2,66.4,4,anionic,0.56,-2.5
CB 10-277,7203-91-0,CN(C)N=Nc1ccc(cc1)C(=O)O,0.25,1.3,,3.0,2.5,"Foster BJ, Newell DR, Carmichael J, Harris AL, Gumbrell LA, Jones M, Goodard PM, and Calvert AH (1993) Preclinical, phase I and pharmacokinetic studies with the dimethyl phenyltriazene CB10-277.  Br. J. Canc. 67: 362-368.",Parameters were calculated using C vs t data obtained by digitzation of the plot provided in the reference.,,1965,193.2,5,1,65.3,3,anionic,2.5,-0.32
Baclofen,1134-47-0,c1cc(ccc1C(CC(=O)O)CN)C,0.65,1.7,0.69,6.36,5.24,"Suresh K. Agarwal, Robert L. Kriel, James C. Cloyd, Lisa D. Coles, Lisa A. Scherkenbach, Michael H. Tobin and Linda E. Krach. Pilot Study Assessing Pharmacokinetics and Tolerability of Oral and Intravenous Baclofen in Healthy Adult Volunteers. J Child Neurol published online 14 July 2014. DOI: 10.1177/0883073814535504. ppb (UF method): Wuis EW, Dirks MJ, Termond EF, Vree TB, Van der Kleijn E. 1989. Plasma and urinary excretion kinetics of oral baclofen in healthy subjects. Eur J Clin Pharmacol 37:181–184.","N=12, digitized from plot reported. 5 mg dose. 70 kg average weight assumed. ",,1962,193.24,3,2,63.3,4,zwitterionic,1.1,-1.2
